DTCR I5_OHLC_NE_USD Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE_USD FTSE100_OHLC_NE_USD BVSP_OHLC_NE_USD BSESN_OHLC_NE_USD Nickel_OHLC_NE Nickel_OHLC_NE_USD VIX_OHLC_NE
04.01.2002 532.653167049557 278.8 20.98 10227.6475 196.568692605123 7685.5606425 6053.63455201838 69.5948749870318 5910 81.8674613905128 20.45
07.01.2002 569.157155196479 282.945 20.4355 10134.052 190.39511851258 7558.466067675 5954.51374747524 70.4546867391237 6234 80.8767411579457 22.052
14.01.2002 563.647458919417 285.5 18.56 9846.428 176.384644357105 7405.2764262 5618.28967004075 70.0412898681335 6149 77.8394986868384 22.9
21.01.2002 572.519064367647 280.735 18.8485 9774.282 170.464538155792 7380.52074675 5577.78221055816 69.8740302746065 5938 75.7434483428107 22.034
28.01.2002 558.464022722079 281.305 19.5015 9803.6185 170.581666841991 7289.451935675 5350.30966282524 68.4700846757538 6004 75.1154973610028 22.184
04.02.2002 559.748652694611 297 19.8695 9697.6445 182.049826461625 7233.65570375 5182.09477967977 69.7062514142308 6174 71.7581480649749 24.956
11.02.2002 569.185700710739 299.885 20.922 9911.2135 182.249479847099 7372.075284825 5254.87473858436 72.6963948916926 6093 74.4547078068254 21.678
18.02.2002 549.528289712361 294.915 20.019 9881.265 182.24870824203 7275.85665205 5409.83036764706 73.8977690005246 5890 75.2923994351362 23.224
25.02.2002 548.836217772458 296.04 20.543 10143.512 184.688917408764 7290.4656255 5737.93060168861 74.9579910447976 5987 78.2754067164179 21.312
04.03.2002 590.243199328578 294.075 22.171 10523.148 189.8527395687 7466.8381785 5848.27137738468 75.2424953654797 6463 88.019048822419 20.01
11.03.2002 603.337943479522 292.09 23.416 10560.3375 199.031683649477 7469.0784352 5859.96174765572 73.7315140646153 6476 90.4945491930478 19.302
18.03.2002 639.215572627045 292.97 24.5125 10536.093 201.084181244245 7531.661641275 5810.32088505673 73.4716653658136 6681 88.1885827070523 18.294
25.03.2002 634.344117921268 299.95 25.0795 10389.999 199.692085205277 7450.855579725 5559.20979569529 71.6285981001621 6666 84.8760154491315 17.822
01.04.2002 629.471763382093 302.565 26.3305 10281.5045 194.450647718484 7502.8846958 5710.71950972513 71.7141612602364 6829 84.8386347613321 19.4
08.04.2002 652.743702230066 300.545 24.851 10245.2145 200.22705453236 7441.4490332 5723.87558254452 71.3962970923271 6810 85.2293825224389 19.398
15.04.2002 676.575507921715 301.535 24.222 10210.83 198.312860253851 7550.06564425 5848.12343477842 70.2580763902025 7034 86.834417879537 18.79
22.04.2002 707.443640687771 305.62 26.2135 10075.933 196.153151144077 7544.4704556 5694.57676265467 69.2640651038206 7086 90.095021610744 20.782
29.04.2002 728.007739286631 310.075 26.536 9972.0945 201.238882751252 7523.91434675 5494.93793033102 68.3643034533506 6954 90.4243504042494 21.256
06.05.2002 704.582592384769 310.88 26.258 9970.664 200.415571044643 7579.2446204 5212.59238733467 70.0497811592424 6935 90.0615697231394 21.772
13.05.2002 740.337905122487 309.735 26.3 10218.488 192.898195446571 7619.681529325 5204.75789453419 69.4458252070293 6869 90.7001158685049 19.092
20.05.2002 787.85393001712 317.61 24.803 10179.6725 189.609444640855 7562.8235007 5295.81104302331 65.5783096866388 6547 95.2843855230652 19.2
27.05.2002 765.391083909938 324.09 24.0425 9998.312 186.045929896728 7437.83013375 5380.19450358747 64.8333622847801 6650 95.4742092623805 20.038
03.06.2002 774.513938152906 325.47 23.5175 9705.838 180.764534570947 7314.684445625 4982.72769681166 65.6354120490197 6855 93.9990096977163 23.508
10.06.2002 790.663712783639 319.775 23.1335 9555.6705 183.563388471614 7118.6892168 4844.8188818399 67.8800927865603 6999 90.376763661377 24.66
17.06.2002 713.232925052987 320.635 24.5525 9549.758 183.130978327223 6939.6758468 4552.70603496359 67.1563589874712 7323 85.830855641984 25.93
24.06.2002 687.090339023498 321.115 25.0995 9201.551 206.965706130438 6934.6072005 4275.81009275021 65.8921533500538 7092 85.9291959419665 26.986
01.07.2002 713.563750655459 313.005 25.649 9098.587 208.052460601665 6949.279979775 3758.98182622789 67.5982440143839 7129 88.8240437932485 28.404
08.07.2002 746.876994424734 314.82 25.6475 8999.598 207.207500043803 6865.4105289 3709.84472741384 68.3504747646685 7399 91.2332989834993 31.872
15.07.2002 714.685230925608 318.54 26.267 8462.856 205.239028009556 6481.142323425 3740.09141334731 66.6121467042831 7508 89.0902321299515 36.084
22.07.2002 643.470585732205 313.785 25.5395 7992.6435 202.48265038348 6135.83952985 3424.08964703641 64.3572632704247 6827 85.6473889535282 40.286
29.07.2002 624.638747436855 303.415 25.635 8566.9645 200.513922202019 6492.29307355 3177.9325969131 61.5837617735368 6653 82.0999242871066 34.704
05.08.2002 607.891532223509 309.88 25.4895 8405.0315 200.826245957627 6362.8978383 3029.48516959992 61.6364739391073 6673 81.0383953726096 39.5
12.08.2002 628.27838004253 313.885 26.6335 8682.7885 198.180691535506 6538.521557375 2902.13608417177 62.2997121716878 6723 82.5563725904991 32.694
19.08.2002 667.325079244084 307.195 27.553 8928.772 201.770557165464 6714.46320925 2904.46968664443 63.6049065974262 6753 81.6432571750519 28.7
26.08.2002 651.873945305696 311.37 27.242 8767.5375 202.368373649463 6644.7989526 3130.07319561052 64.31728784877 6796 82.5873891476263 31.926
02.09.2002 634.515074915265 315.835 27.455 8445.8515 200.652458826118 6360.928187525 3219.90342107764 65.5217023297102 6655 78.3733165518235 37.048
09.09.2002 658.17530284772 319.075 28.3305 8484.6375 196.173021290074 6399.9807768 3217.0670102112 64.230456454659 6905 77.8102138629225 35.932
16.09.2002 626.053162344448 319.535 28.25 8167.8125 194.249049257242 6106.9749969 3089.30611285266 63.3680174454056 6625 77.5734794910958 38.38
23.09.2002 627.718283753222 322.67 29.137 7841.7015 192.694290940459 5869.4052746 2943.97883949329 62.3555629056931 6429 76.2231722489205 37.82
30.09.2002 622.697550021319 321.61 28.8425 7721.4235 191.126552067913 6009.773568 2463.09903169464 61.3282657482962 6573 74.6121943759049 37.482
07.10.2002 634.386497922295 320.22 28.1785 7492.5405 187.666941756312 5906.158261075 2362.79127885481 61.3776160409133 6533 69.4551194890396 39.808
14.10.2002 645.245312890224 314.76 28.5335 8102.0845 184.260190026967 6321.122379975 2295.91900908875 62.2290794491909 6710 70.9988479170179 34.738
21.10.2002 650.650172324089 312.575 26.84 8416.444 185.531849082729 6339.256064 2531.48740142211 61.0803060955229 7006 70.3766385401495 32.886
28.10.2002 654.49668505153 317.22 25.551 8401.523 182.184605198455 6260.63384475 2614.40963134357 59.9703034509438 7239 70.674432586803 31.002
04.11.2002 654.90586191705 319.34 24.25 8631.0215 186.701141362566 6402.797027875 2583.73890771918 61.7250662402971 7346 72.5987566308229 30.406
11.11.2002 654.223187093122 320.875 23.32 8448.7005 179.546044960519 6412.04013105 2562.87059549643 61.6501515655901 7231 70.4574703448621 29.688
18.11.2002 664.938181132313 318.94 24.216 8627.943 172.845072600604 6518.7429368 2636.25066651473 64.0504073399069 7310 69.6728586636095 25.472
25.11.2002 655.229352789484 317.905 24.8915 8824.6215 168.615055213404 6439.7669226 2682.61333151456 66.2429793341464 7392 73.4186900206666 26.408
02.12.2002 635.793398509949 321.26 25.8535 8740.907 170.673173348541 6392.44098375 2957.2030281192 67.3296140866468 7379 72.8224475198508 28.738
09.12.2002 613.534232395806 327.83 26.8275 8537.0815 167.831392626826 6215.787234 2936.99656452906 68.6753557529624 7165 71.207231209147 28.554
16.12.2002 607.966365807668 341.075 29.3155 8490.396 170.62825197739 6221.846640075 3067.10650212131 69.3910267748453 7055 69.7572212474343 27.622
23.12.2002 614.664369885434 346.75 31.262 8453.783 170.808197844339 6266.6839881 3200.22680496979 70.0371411917922 7241 70.9915378633833 27.22
30.12.2002 620.309194788887 346.225 31.09 8318.535 165.005557502024 6246.48171 3143.76867053838 70.4943022282706 7150 72.239755261664 29.12
01.01.2003 620.965390954038 346.491666666667 30.7733333333333 8466.56333333333 161.504950455176 6374.80467638889 3244.15191424909 70.4467286471457 7260 72.1078534251175 26.23
06.01.2003 622.520364001506 352.11 30.67 8713.917 164.115138335146 6361.59521425 3372.04197224489 70.0382257896383 7698 71.9606278766862 24.828
13.01.2003 630.66393551327 354.075 31.505 8745.1815 174.843863734525 6287.883206 3411.92104726513 69.9467050623931 7981 72.3665491707663 25.138
20.01.2003 610.918444339474 360.565 31.789 8421.3795 176.960186153954 6001.161945625 3216.23073503385 69.8025379475683 8424 73.3254370525817 28.268
27.01.2003 603.544301471167 368.61 31.183 8041.679 180.959362647997 5778.566154 3040.65444112973 67.8895089916056 8293 71.1584564860427 32.074
03.02.2003 600.620454388335 373.765 31.3605 8003.164 181.200707492461 5954.6086323 2948.32092602834 68.6756334318777 8366 70.6689695979732 32.836
10.02.2003 627.48083123108 359.75 32.6795 7826.8345 181.017975429512 5866.377261425 2878.79306432896 68.0335775271975 8516 70.8103000529311 33.664
17.02.2003 635.306186521271 350.515 32.9605 7948.175 181.343039256193 5883.987169425 2861.55830834337 69.0221109108438 8638 72.8971057720948 31.29
24.02.2003 637.976887001711 352.435 33.3835 7877.7475 181.555869394244 5741.0303424 2838.88016119526 69.0308924845066 8986 71.461207665831 31.164
03.03.2003 670.46069070353 352.57 34.1675 7757.138 182.748874654785 5725.55664675 2885.98553022026 67.8147646638955 8856 71.4702926484729 31.018
10.03.2003 657.225872102268 346.285 33.782 7654.0755 177.731035582597 5515.118062025 2953.72699391039 65.5927465490999 8464 67.8213463102278 32.634
17.03.2003 621.224645775916 335.395 28.109 8205.868 177.174697026626 5877.2124624 3096.07375491867 65.6697159162435 8228 67.37694392625 30.566
24.03.2003 612.511345260075 329.86 26.6735 8242.177 178.283755735594 5904.5070735 3141.52055930477 65.9549188076382 8070 69.2906189434458 28.616
31.03.2003 606.228547330756 330.56 26.814 8162.0615 182.968936130113 5845.7495451 3432.98041013067 65.4869779066617 7864 67.6077870748013 28.574
07.04.2003 627.453838895908 324.265 24.9855 8271.7585 185.632616126965 6027.5402099 3518.86582463098 65.978505629478 7859 67.1336104562532 26.546
14.04.2003 686.387754290297 326.185 25.2285 8309.93 194.799922920655 6089.6956766 3590.2974819567 63.4136558911484 8072 65.3961395947867 22.298
21.04.2003 789.839084986246 333.165 25.001 8410.3025 186.56860855871 6175.4632225 3663.88587873816 62.6877694193221 7924 65.2578144504918 20.916
28.04.2003 784.724389309907 337.335 23.5685 8465.699 183.49927389677 6263.02117475 3947.43413171148 62.2369454923348 7989 64.8788685579849 21.006
05.05.2003 749.181946857106 344.635 24.176 8554.0615 183.817168705267 6356.699339575 4357.09131956508 62.9673483425487 8136 68.387518562171 20.772
12.05.2003 768.342393587796 352.07 26 8678.2255 184.295804256635 6455.418704925 4513.42949613781 63.3207405891156 8201 70.2896943223946 19.414
19.05.2003 781.836766037552 366.97 26.9015 8543.9815 186.75983046629 6494.60610895 4415.15863488097 65.080192876362 8366 68.9789379130398 20.392
