DTCR I5_OHLC_NE Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE FTSE100_OHLC_NE BVSP_OHLC_NE BSESN_OHLC_NE Nickel_OHLC_NE NIKKEI225_OHLC_NE VIX_OHLC_NE
19.11.2001 13362.36348 273.185 18.622 9891.4225 1693.662 5318.45 12935.05 3258.1245 5259 10654.607 24.042
26.11.2001 13602.71212 273.495 18.8365 9853.1825 1725.174 5241.985 13254.8 3297.863 5317 10794.334 24.758
03.12.2001 14222.80672 274.755 18.9435 9958.924 1755.1455 5265.185 13307.55 3370.754 5323 10659.018 24.014
10.12.2001 14525.91828 273.615 17.8355 9877.305 1717.131 5138.795 13324.5 3413.37 4936 10578.606 25.266
17.12.2001 14726.8476 277.96 18.6325 9978.688 1662.1675 5119.97 13145.1 3304.8645 5370 10412.193 23.26
24.12.2001 15251.57124 277.91 19.124 10084.612 1622.6155 5182.175 13389.05 3191.8335 5696 10341.87 22.104
31.12.2001 15586.466 277.95 19.45 10084.9 1643.88 5230.35 13699.5 3226.6625 5680 10510.1975 23.8
01.01.2002 15908.204 278.61875 20.09875 10114.7975 1641.178125 5263.55 13973.0625 3283.261875 5766.25 10569.589375 22.075
07.01.2002 17329.98164 282.945 20.4355 10134.052 1574.6495 5244.255 14017.35 3400.0375 6234 10683.494 22.052
14.01.2002 17150.66488 285.5 18.56 9846.428 1458.7795 5139.555 13216.95 3380.788 6149 10269.6375 22.9
21.01.2002 17506.63108 280.735 18.8485 9774.282 1409.492 5172.525 13186.45 3370.8455 5938 10143.2975 22.034
28.01.2002 17106.31148 281.305 19.5015 9803.6185 1410.7735 5162.995 12741.15 3315.3215 6004 10019.2055 22.184
04.02.2002 17199.9566 297 19.8695 9697.6445 1505.644 5117.875 12662.05 3388.63 6174 9586.171 24.956
11.02.2002 17538.318996 299.885 20.922 9911.2135 1506.62 5167.095 12875.4 3536.407 6093 9922.43 21.678
18.02.2002 16965.03736 294.915 20.019 9881.265 1506.62 5091.59 13280.45 3592.2075 5890 10050.293 23.224
25.02.2002 16966.174 296.04 20.543 10143.512 1527.5685 5127.09 14029.3 3650.3005 5987 10488.9045 21.312
04.03.2002 18285.144072 294.075 22.171 10523.148 1570.4125 5246.145 14030 3661.044 6463 11494.0115 20.01
11.03.2002 18723.3864 292.09 23.416 10560.3375 1646.408 5264.66 14082.55 3589.169 6476 11662.9375 19.302
18.03.2002 19886.63568 292.97 24.5125 10536.093 1662.933 5281.985 13998.35 3577.0415 6681 11617.082 18.294
25.03.2002 19731.59096 299.95 25.0795 10389.999 1651.4825 5227.405 13391 3491.2495 6666 11273.487 17.822
01.04.2002 19579.7192 302.565 26.3305 10281.5045 1609.118 5241.055 13287.25 3498.5395 6829 11251.427 19.4
08.04.2002 20342.75748 300.545 24.851 10245.2145 1656.988 5184.92 13343.55 3487.959 6810 11195.476 19.398
15.04.2002 21053.00008 301.535 24.222 10210.83 1640.089 5233.325 13612.2 3435.6375 7034 11362.5875 18.79
22.04.2002 22012.10888 305.62 26.2135 10075.933 1622.827 5200.68 13253.95 3387.463 7086 11662.7555 20.782
29.04.2002 22696.36928 310.075 26.536 9972.0945 1664.8855 5159.975 12943.45 3344.621 6954 11558.8995 21.256
06.05.2002 21974.1696 310.88 26.258 9970.664 1658.511 5178.07 12365.95 3425.014 6935 11523.603 21.772
13.05.2002 23073.74132 309.735 26.3 10218.488 1596.5875 5230.765 12339.05 3400.519 6869 11585.2165 19.092
20.05.2002 24620.82924 317.61 24.803 10179.6725 1568.729 5187.78 12588.75 3212.3535 6547 11898.59 19.2
27.05.2002 23948.70432 324.09 24.0425 9998.312 1539.571 5092.05 12805.3 3172.4585 6650 11867.301 20.038
03.06.2002 24207.04588 325.47 23.5175 9705.838 1495.2535 5011.345 12495.6 3212.965 6855 11675.1 23.508
10.06.2002 24807.58792 319.775 23.1335 9555.6705 1518.4235 4848.88 12196.85 3321.339 6999 11299.2645 24.66
17.06.2002 22378.03964 320.635 24.5525 9549.758 1514.9675 4659.94 11461.4 3283.1065 7323 10620.4955 25.93
24.06.2002 21594.21872 321.115 25.0995 9201.551 1711.9365 4575.26 10782.5 3218.3375 7092 10358.8505 26.986
01.07.2002 22453.35376 313.005 25.649 9098.587 1721.192 4546.515 10760.05 3299.0985 7129 10660.5285 28.404
08.07.2002 23577.41296 314.82 25.6475 8999.598 1714.784 4442.51 10653.65 3332.8375 7399 10756.8165 31.872
